mean_pred,fraction_pos,model
0.2709881893376089,0.15053763440860216,source_only
0.40937951833202957,0.22015655577299412,source_only
0.44107405023491636,0.27984344422700586,source_only
0.4623773403828988,0.30234833659491195,source_only
0.4809046420701695,0.30791788856304986,source_only
0.5017258346034745,0.30234833659491195,source_only
0.5279242600362664,0.3238747553816047,source_only
0.5846885079824934,0.37084148727984345,source_only
0.6893279072535959,0.48532289628180036,source_only
0.8890125791253852,0.6314760508308895,source_only
0.23883568146435605,0.11436950146627566,target_only
0.3295307491705355,0.21135029354207435,target_only
0.36795951972080965,0.2172211350293542,target_only
0.38862353350709816,0.2309197651663405,target_only
0.41704413133886403,0.2590420332355816,target_only
0.4470020732232606,0.2896281800391389,target_only
0.5163647960000004,0.37377690802348335,target_only
0.6088919926705331,0.45792563600782776,target_only
0.6748986838277526,0.5332681017612525,target_only
0.8092134880023086,0.6871945259042033,target_only
0.4818917543191248,0.33528836754643204,prototypical_networks
0.48583972926475766,0.3356164383561644,prototypical_networks
0.4881910312549009,0.3219178082191781,prototypical_networks
0.49021621386715575,0.3522504892367906,prototypical_networks
0.4922841606426798,0.32649071358748777,prototypical_networks
0.4942975462999363,0.33659491193737767,prototypical_networks
0.4965894332778897,0.33659491193737767,prototypical_networks
0.4992366618314601,0.3287671232876712,prototypical_networks
0.5027932879276238,0.337573385518591,prototypical_networks
0.5102830262361268,0.36363636363636365,prototypical_networks
0.1144765819260657,0.18084066471163246,domain_adversarial
0.17232824332735078,0.20645792563600782,domain_adversarial
0.2081506370681606,0.2318982387475538,domain_adversarial
0.2414627311251868,0.23874755381604695,domain_adversarial
0.2744924395489902,0.29227761485826004,domain_adversarial
0.31033991711713566,0.32093933463796476,domain_adversarial
0.3521759124243096,0.38551859099804303,domain_adversarial
0.40417812776308937,0.4060665362035225,domain_adversarial
0.47522866107712985,0.4882583170254403,domain_adversarial
0.6203460956715185,0.6236559139784946,domain_adversarial
0.14068226032835685,0.11632453567937438,causal_transfer
0.20155094794896192,0.21037181996086105,causal_transfer
0.2302476798439225,0.21428571428571427,causal_transfer
0.24499321927959167,0.23776908023483365,causal_transfer
0.2671878773561275,0.2590420332355816,causal_transfer
0.2906714628759475,0.2847358121330724,causal_transfer
0.34913889333962494,0.3767123287671233,causal_transfer
0.439917412628188,0.45596868884540115,causal_transfer
0.5108522047034578,0.5303326810176126,causal_transfer
0.6826642451379057,0.6891495601173021,causal_transfer
0.11796807427430028,0.18670576735092864,tabtransformer
0.17819512600476495,0.17025440313111545,tabtransformer
0.2154748696986943,0.21526418786692758,tabtransformer
0.24845950188818744,0.25048923679060664,tabtransformer
0.28063034982159224,0.2776148582600195,tabtransformer
0.31357029739424674,0.312133072407045,tabtransformer
0.35340190756110995,0.35714285714285715,tabtransformer
0.40011044196536627,0.46477495107632094,tabtransformer
0.4692398784445223,0.4911937377690802,tabtransformer
0.6350011628627311,0.6490713587487781,tabtransformer
0.14821705394546192,0.25513196480938416,enhanced_maml
0.22022447612595886,0.27299412915851273,enhanced_maml
0.26014351321351503,0.27690802348336596,enhanced_maml
0.29268624299659657,0.2925636007827789,enhanced_maml
0.32219647300791066,0.3098729227761486,enhanced_maml
0.35092971478306384,0.33170254403131116,enhanced_maml
0.381470549742303,0.3287671232876712,enhanced_maml
0.41666426347776403,0.35714285714285715,enhanced_maml
0.4649277707951876,0.40998043052837574,enhanced_maml
0.5974020608359418,0.5395894428152492,enhanced_maml
0.13254387562380565,0.12023460410557185,meta_ensemble
0.19221727951933856,0.20058708414872797,meta_ensemble
0.22258929119017337,0.21232876712328766,meta_ensemble
0.24282039336427616,0.24266144814090018,meta_ensemble
0.2682564562805007,0.26099706744868034,meta_ensemble
0.2986149855209358,0.28669275929549903,meta_ensemble
0.37496752075262424,0.37181996086105673,meta_ensemble
0.4704326844059042,0.449119373776908,meta_ensemble
0.5393041665971914,0.5440313111545988,meta_ensemble
0.6702767770117688,0.6862170087976539,meta_ensemble
