Model,dimension,subgroup,n,tpr,fpr,tpr_diff_vs_ref,fpr_diff_vs_ref,eod,tpr_diff_vs_white,fpr_diff_vs_white
source_only,race_ethnicity,american indian or alaska native,101,0.5227,0.193,,,0.5227,,
source_only,race_ethnicity,asian,414,0.1028,0.0261,,,0.5227,,
source_only,race_ethnicity,black or african american,4846,0.4255,0.2145,,,0.5227,,
source_only,race_ethnicity,hispanic,9,0.3333,0.1667,,,0.5227,,
source_only,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.4,,,0.5227,,
source_only,race_ethnicity,unknown,782,0.1322,0.0197,,,0.5227,,
source_only,race_ethnicity,white,4065,0.341,0.1451,,,0.5227,,
source_only,gender,Female,0,,,,,,,
source_only,gender,Male,0,,,,,,,
source_only,age_group,lt30,3164,0.3207,0.1246,,,0.099,,
source_only,age_group,30to50,4840,0.3867,0.1704,,,0.099,,
source_only,age_group,gt50,2219,0.4196,0.1823,,,0.099,,
target_only,race_ethnicity,american indian or alaska native,101,0.4773,0.2632,,,0.6581,,
target_only,race_ethnicity,asian,414,0.4019,0.1531,,,0.6581,,
target_only,race_ethnicity,black or african american,4846,0.6581,0.3331,,,0.6581,,
target_only,race_ethnicity,hispanic,9,0.0,0.0,,,0.6581,,
target_only,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.0,,,0.6581,,
target_only,race_ethnicity,unknown,782,0.124,0.0136,,,0.6581,,
target_only,race_ethnicity,white,4065,0.5163,0.2447,,,0.6581,,
target_only,gender,Female,0,,,,,,,
target_only,gender,Male,0,,,,,,,
target_only,age_group,lt30,3164,0.4943,0.1903,,,0.1318,,
target_only,age_group,30to50,4840,0.6011,0.2743,,,0.1318,,
target_only,age_group,gt50,2219,0.6261,0.3157,,,0.1318,,
prototypical_networks,race_ethnicity,american indian or alaska native,101,0.4091,0.4737,,,1.0,,
prototypical_networks,race_ethnicity,asian,414,0.5607,0.5212,,,1.0,,
prototypical_networks,race_ethnicity,black or african american,4846,0.5442,0.5193,,,1.0,,
prototypical_networks,race_ethnicity,hispanic,9,1.0,0.6667,,,1.0,,
prototypical_networks,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.4,,,1.0,,
prototypical_networks,race_ethnicity,unknown,782,0.5868,0.5401,,,1.0,,
prototypical_networks,race_ethnicity,white,4065,0.5638,0.5271,,,1.0,,
prototypical_networks,gender,Female,0,,,,,,,
prototypical_networks,gender,Male,0,,,,,,,
prototypical_networks,age_group,lt30,3164,0.3289,0.3277,,,0.4868,,
prototypical_networks,age_group,30to50,4840,0.5607,0.5476,,,0.4868,,
prototypical_networks,age_group,gt50,2219,0.8157,0.7703,,,0.4868,,
domain_adversarial,race_ethnicity,american indian or alaska native,101,0.4091,0.2456,,,0.6696,,
domain_adversarial,race_ethnicity,asian,414,0.3645,0.1368,,,0.6696,,
domain_adversarial,race_ethnicity,black or african american,4846,0.6696,0.449,,,0.6696,,
domain_adversarial,race_ethnicity,hispanic,9,0.6667,0.1667,,,0.6696,,
domain_adversarial,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.4,,,0.6696,,
domain_adversarial,race_ethnicity,unknown,782,0.281,0.1044,,,0.6696,,
domain_adversarial,race_ethnicity,white,4065,0.4766,0.2614,,,0.6696,,
domain_adversarial,gender,Female,0,,,,,,,
domain_adversarial,gender,Male,0,,,,,,,
domain_adversarial,age_group,lt30,3164,0.5498,0.2684,,,0.0831,,
domain_adversarial,age_group,30to50,4840,0.5824,0.3449,,,0.0831,,
domain_adversarial,age_group,gt50,2219,0.5791,0.3514,,,0.0831,,
causal_transfer,race_ethnicity,american indian or alaska native,101,0.4773,0.2632,,,0.6555,,
causal_transfer,race_ethnicity,asian,414,0.4112,0.1629,,,0.6555,,
causal_transfer,race_ethnicity,black or african american,4846,0.6555,0.3314,,,0.6555,,
causal_transfer,race_ethnicity,hispanic,9,0.0,0.0,,,0.6555,,
causal_transfer,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.0,,,0.6555,,
causal_transfer,race_ethnicity,unknown,782,0.124,0.0121,,,0.6555,,
causal_transfer,race_ethnicity,white,4065,0.5139,0.2425,,,0.6555,,
causal_transfer,gender,Female,0,,,,,,,
causal_transfer,gender,Male,0,,,,,,,
causal_transfer,age_group,lt30,3164,0.4902,0.1871,,,0.1359,,
causal_transfer,age_group,30to50,4840,0.5993,0.274,,,0.1359,,
causal_transfer,age_group,gt50,2219,0.6261,0.315,,,0.1359,,
tabtransformer,race_ethnicity,american indian or alaska native,101,0.5227,0.2982,,,0.6712,,
tabtransformer,race_ethnicity,asian,414,0.2804,0.114,,,0.6712,,
tabtransformer,race_ethnicity,black or african american,4846,0.6712,0.4385,,,0.6712,,
tabtransformer,race_ethnicity,hispanic,9,0.6667,0.1667,,,0.6712,,
tabtransformer,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.4,,,0.6712,,
tabtransformer,race_ethnicity,unknown,782,0.2727,0.0635,,,0.6712,,
tabtransformer,race_ethnicity,white,4065,0.5052,0.2807,,,0.6712,,
tabtransformer,gender,Female,0,,,,,,,
tabtransformer,gender,Male,0,,,,,,,
tabtransformer,age_group,lt30,3164,0.52,0.2542,,,0.1213,,
tabtransformer,age_group,30to50,4840,0.6086,0.3411,,,0.1213,,
tabtransformer,age_group,gt50,2219,0.6026,0.3755,,,0.1213,,
enhanced_maml,race_ethnicity,american indian or alaska native,101,0.2273,0.1404,,,0.3333,,
enhanced_maml,race_ethnicity,asian,414,0.2336,0.1466,,,0.3333,,
enhanced_maml,race_ethnicity,black or african american,4846,0.322,0.211,,,0.3333,,
enhanced_maml,race_ethnicity,hispanic,9,0.3333,0.3333,,,0.3333,,
enhanced_maml,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.4,,,0.3333,,
enhanced_maml,race_ethnicity,unknown,782,0.1983,0.0938,,,0.3333,,
enhanced_maml,race_ethnicity,white,4065,0.3212,0.1954,,,0.3333,,
enhanced_maml,gender,Female,0,,,,,,,
enhanced_maml,gender,Male,0,,,,,,,
enhanced_maml,age_group,lt30,3164,0.2837,0.1625,,,0.0769,,
enhanced_maml,age_group,30to50,4840,0.3265,0.1861,,,0.0769,,
enhanced_maml,age_group,gt50,2219,0.3216,0.2393,,,0.0769,,
meta_ensemble,race_ethnicity,american indian or alaska native,101,0.4773,0.2632,,,0.6618,,
meta_ensemble,race_ethnicity,asian,414,0.3832,0.1498,,,0.6618,,
meta_ensemble,race_ethnicity,black or african american,4846,0.6618,0.3427,,,0.6618,,
meta_ensemble,race_ethnicity,hispanic,9,0.0,0.0,,,0.6618,,
meta_ensemble,race_ethnicity,native hawaiian or other pacific islander,6,0.0,0.0,,,0.6618,,
meta_ensemble,race_ethnicity,unknown,782,0.1322,0.0166,,,0.6618,,
meta_ensemble,race_ethnicity,white,4065,0.5234,0.2525,,,0.6618,,
meta_ensemble,gender,Female,0,,,,,,,
meta_ensemble,gender,Male,0,,,,,,,
meta_ensemble,age_group,lt30,3164,0.5046,0.199,,,0.1241,,
meta_ensemble,age_group,30to50,4840,0.6028,0.2829,,,0.1241,,
meta_ensemble,age_group,gt50,2219,0.6288,0.3191,,,0.1241,,
